id,country
144,Afghanistan
68,Albania
74,Algeria
72,Andorra
107,Angola
184,Antigua & Barbuda
29,Argentina
18,Armenia
91,Aruba
49,Australia
28,Austria
8,Azerbaijan
173,Bahamas
122,Bahrain
78,Bangladesh
113,Barbados
58,Belarus
39,Belgium
150,Bermuda
99,Bolivia
55,Bosnia & Herzegovina
125,Botswana
42,Brazil
161,Brunei
12,Bulgaria
183,Burkina Faso
111,Burundi
151,Cameroon
40,Canada
75,Cape Verde
34,Chile
3,China
63,Colombia
89,Costa Rica
25,Croatia
44,Cuba
120,Cyprus
21,Czech Republic
181,Democratic Republic of Congo
36,Denmark
153,Djibouti
92,Dominican Republic
82,Ecuador
19,Egypt
105,El Salvador
20,England
160,Eritrea
66,Estonia
182,Eswatini
138,Ethiopia
57,Faroe Islands
168,Fiji
53,Finland
4,France
167,Gabon
145,Gambia
47,Georgia
17,Germany
155,Ghana
33,Greece
166,Guam
108,Guatemala
157,Guernsey
154,Guyana
143,Haiti
114,Honduras
129,Hong Kong
22,Hungary
61,Iceland
7,India
67,Indonesia
13,Iran
106,Iraq
80,Ireland
24,Israel
35,Italy
140,Ivory Coast
118,Jamaica
95,Japan
137,Jersey
103,Jordan
41,Kazakhstan
149,Kenya
76,Kosovo
164,Kuwait
97,Kyrgyzstan
38,Latvia
116,Lebanon
178,Lesotho
162,Liberia
133,Libya
135,Liechtenstein
54,Lithuania
85,Luxembourg
159,Macau
84,Madagascar
139,Malawi
73,Malaysia
158,Maldives
134,Mali
126,Malta
141,Mauritania
163,Mauritius
62,Mexico
50,Moldova
100,Monaco
65,Mongolia
51,Montenegro
64,Morocco
132,Mozambique
88,Myanmar
124,Namibia
171,Nauru
119,Nepal
5,Netherlands
130,Netherlands Antilles
104,New Zealand
117,Nicaragua
110,Nigeria
59,North Macedonia
1,Norway
142,Oman
121,Pakistan
177,Palau
128,Palestine
83,Panama
165,Papua New Guinea
43,Paraguay
27,Peru
56,Philippines
14,Poland
69,Portugal
115,Puerto Rico
109,Qatar
9,Romania
2,Russia
175,Rwanda
131,Saint Lucia
172,San Marino
152,Sao Tome & Principe
146,Saudi Arabia
60,Scotland
170,Senegal
30,Serbia
136,Seychelles
174,Sierra Leone
52,Singapore
46,Slovakia
31,Slovenia
179,Solomon Islands
147,Somalia
90,South Africa
77,South Korea
127,South Sudan
15,Spain
81,Sri Lanka
123,Sudan
156,Suriname
26,Sweden
48,Switzerland
102,Syria
71,Taiwan
45,Tajikistan
180,Tanzania
112,Thailand
176,Timor-Leste
148,Togo
86,Trinidad & Tobago
87,Tunisia
32,Turkey
70,Turkmenistan
101,Uganda
16,Ukraine
23,United Arab Emirates
6,United States
37,Uruguay
10,Uzbekistan
79,Venezuela
11,Vietnam
169,Virgin Islands
94,Wales
96,Yemen
93,Zambia
98,Zimbabwe
